,u,dv,x,dx,theta,dtheta
198660,-2.459892,0,-0.522032,-0.337583,-0.470213,0.182927
198680,-2.404611,0,-0.52937,-0.344607,-0.472115,0.243902
198700,-2.357156,0,-0.536775,-0.347131,-0.474635,0.304878
198720,-2.422571,0,-0.544214,-0.348525,-0.477239,0.243902
198740,-2.485686,0,-0.551585,-0.349229,-0.479233,0.182927
198760,-2.431674,0,-0.559058,-0.352757,-0.480927,0.243902
198780,-2.334048,0,-0.566496,-0.353462,-0.483929,0.365854
198800,-2.45978,0,-0.573868,-0.353186,-0.486834,0.243902
198820,-2.523136,0,-0.581273,-0.352624,-0.488722,0.182927
198840,-2.419733,0,-0.588779,-0.353888,-0.491002,0.304878
198860,-2.379783,0,-0.596252,-0.35317,-0.494087,0.365854
198880,-2.448424,0,-0.603691,-0.353594,-0.496787,0.304878
198900,-2.618466,0,-0.611298,-0.355686,-0.498573,0.121951
198920,-2.563925,0,-0.618939,-0.357929,-0.499989,0.182927
198940,-2.56609,0,-0.626714,-0.360169,-0.501621,0.182927
198960,-2.511271,0,-0.634658,-0.365076,-0.503457,0.243902
199000,-2.428189,0,-0.650007,-0.367757,-0.509791,0.365854
199020,-2.601678,0,-0.657749,-0.368754,-0.51191,0.182927
199040,-2.606195,0,-0.665457,-0.368201,-0.513529,0.182927
199060,-2.668979,0,-0.673468,-0.369345,-0.515338,0.121951
199080,-2.829701,0,-0.681613,-0.374254,-0.516065,-0.060976
199100,-2.910152,0,-0.69023,-0.379525,-0.514725,-0.182927
199120,-2.830682,0,-0.698948,-0.3887,-0.514036,-0.121951
199140,-2.806571,0,-0.707565,-0.397448,-0.513248,-0.121951
199160,-2.678219,0,-0.71625,-0.404049,-0.513065,0
199180,-2.560162,0,-0.724967,-0.408671,-0.513974,0.121951
199200,-2.665331,0,-0.73345,-0.410482,-0.514586,0
199220,-2.709801,0,-0.742168,-0.412173,-0.514521,-0.060976
199240,-2.756964,0,-0.750583,-0.40885,-0.514039,-0.121951
199260,-2.689376,0,-0.759267,-0.409266,-0.513649,-0.060976
199280,-2.629383,0,-0.767682,-0.407031,-0.51385,0
199300,-2.629433,0,-0.775996,-0.401395,-0.514141,0
199320,-2.623694,0,-0.784344,-0.401111,-0.514448,0
199340,-2.568061,0,-0.792557,-0.397044,-0.514936,0.060976
199360,-2.569935,0,-0.800871,-0.39453,-0.515929,0.060976
199380,-2.624708,0,-0.808882,-0.391305,-0.516426,0
199400,-2.619764,0,-0.817061,-0.389756,-0.516631,0
199420,-2.66971,0,-0.825139,-0.386678,-0.516513,-0.060976
199440,-2.659625,0,-0.833285,-0.385685,-0.516108,-0.060976
199460,-2.649122,0,-0.841431,-0.385117,-0.51571,-0.060976
199480,-2.532088,0,-0.849644,-0.38708,-0.516297,0.060976
199500,-2.583401,0,-0.857756,-0.386369,-0.516713,0
199520,-2.576679,0,-0.8658,-0.386514,-0.516912,0
199540,-2.570553,0,-0.873845,-0.385528,-0.517023,0
199560,-2.618815,0,-0.881856,-0.383424,-0.516814,-0.060976
199580,-2.663593,0,-0.889935,-0.382444,-0.516313,-0.121951
199600,-2.701664,0,-0.898181,-0.384132,-0.515329,-0.182927
199620,-2.786051,0,-0.90663,-0.387346,-0.513364,-0.304878
199640,-2.810498,0,-0.914978,-0.390702,-0.510817,-0.365854
199660,-3.098526,0,-0.923561,-0.396458,-0.506772,-0.731707
199680,-3.412838,0,-0.932683,-0.40531,-0.499343,-1.158537
