Timestamp,Angular position,Angular velocity
8674,-6.85546875,-96.6796875
8684,-7.822265625,-87.890625
8695,-8.701171875,-87.890625
8705,-9.404296875,-63.9204559
8716,-10.1953125,-79.1015625
8726,-10.81054688,-61.5234375
8736,-11.42578125,-55.930397
8747,-11.86523438,-43.9453125
8757,-12.12890625,-23.970171
8768,-12.48046875,-35.15625
8778,-12.65625,-15.980114
8789,-12.65625,0
8799,-12.65625,0
8809,-12.48046875,15.980114
8820,-12.21679688,26.3671875
8830,-11.86523438,31.960228
8841,-11.42578125,43.9453125
8851,-10.81054688,55.930397
8862,-10.1953125,61.5234375
8872,-9.4921875,70.3125
8882,-8.701171875,71.9105148
8893,-7.734375,96.6796875
8903,-6.85546875,79.9005661
8914,-5.888671875,96.6796875
8924,-4.833984375,95.8806839
8935,-3.779296875,105.46875
8945,-2.724609375,105.46875
8955,-1.58203125,103.8707352
8966,-0.52734375,105.46875
8976,0.615234375,103.8707352
8987,1.669921875,105.46875
8997,2.8125,103.8707352
9008,3.8671875,105.46875
9018,4.833984375,96.6796875
9028,5.888671875,95.8806839
9039,6.767578125,87.890625
9049,7.646484375,79.9005661
9060,8.4375,79.1015625
9070,9.140625,63.9204559
9081,9.84375,70.3125
9091,10.37109375,52.734375
9101,10.8984375,47.9403419
9112,11.25,35.15625
9122,11.51367188,23.970171
9133,11.77734375,26.3671875
9143,11.86523438,8.7890625
9153,11.86523438,0
9164,11.77734375,-8.7890625
9174,11.68945313,-7.990057
9185,11.42578125,-26.3671875
9195,10.98632813,-39.9502831
9206,10.546875,-43.9453125
9216,10.01953125,-52.734375
9226,9.404296875,-55.930397
9237,8.7890625,-61.5234375
9247,7.998046875,-71.9105148
9258,7.119140625,-87.890625
9268,6.240234375,-79.9005661
9279,5.2734375,-96.6796875
9289,4.306640625,-96.6796875
9299,3.251953125,-95.8806839
9310,2.197265625,-105.46875
9320,1.142578125,-95.8806839
9331,0,-114.2578125
9341,-1.0546875,-95.8806839
9352,-2.197265625,-114.2578125
9362,-3.251953125,-105.46875
9372,-4.306640625,-95.8806839
9383,-5.361328125,-105.46875
9393,-6.328125,-87.890625
9404,-7.294921875,-96.6796875
9414,-8.173828125,-79.9005661
9425,-8.96484375,-79.1015625
9435,-9.66796875,-70.3125
9445,-10.37109375,-63.9204559
9456,-10.8984375,-52.734375
9466,-11.42578125,-47.9403419
9477,-11.86523438,-43.9453125
9487,-12.12890625,-23.970171
9498,-12.3046875,-17.578125
9508,-12.39257813,-8.7890625
9518,-12.39257813,0
9529,-12.3046875,8.7890625
9539,-12.04101563,23.970171
9550,-11.68945313,35.15625
9560,-11.33789063,31.960228
9571,-10.81054688,52.734375
9581,-10.1953125,61.5234375
9591,-9.4921875,63.9204559
9602,-8.7890625,70.3125
9612,-7.91015625,79.9005661
9623,-7.03125,87.890625
9633,-6.064453125,87.890625
9644,-5.09765625,96.6796875
9654,-4.04296875,105.46875
9664,-2.98828125,95.8806839
9675,-1.93359375,105.46875
9685,-0.791015625,103.8707352
9696,0.263671875,105.46875
9706,1.40625,114.2578125
9716,2.4609375,95.8806839
9727,3.515625,105.46875
9737,4.482421875,87.890625
9748,5.44921875,96.6796875
9758,6.416015625,87.890625
9769,7.294921875,87.890625
9779,8.0859375,79.1015625
9789,8.876953125,71.9105148
9800,9.4921875,61.5234375
9810,10.10742188,55.930397
9821,10.63476563,52.734375
9831,10.98632813,31.960228
9842,11.33789063,35.15625
9852,11.6015625,26.3671875
9862,11.77734375,15.980114
9873,11.77734375,0
9883,11.68945313,-7.990057
9894,11.6015625,-8.7890625
9904,11.33789063,-23.970171
9915,11.07421875,-26.3671875
9925,10.63476563,-43.9453125
9935,10.10742188,-47.9403419
9946,9.580078125,-52.734375
9956,8.876953125,-63.9204559
9967,8.173828125,-70.3125
9977,7.3828125,-71.9105148
9988,6.50390625,-87.890625
9998,5.537109375,-96.6796875
10008,4.658203125,-79.9005661
10019,3.603515625,-105.46875
10029,2.548828125,-95.8806839
10040,1.494140625,-105.46875
10050,0.439453125,-95.8806839
10061,-0.703125,-114.2578125
10071,-1.7578125,-105.46875
10081,-2.8125,-95.8806839
10092,-3.955078125,-114.2578125
10102,-4.921875,-87.890625
10113,-5.888671875,-96.6796875
10123,-6.85546875,-87.890625
10134,-7.734375,-87.890625
10144,-8.61328125,-87.890625
10154,-9.31640625,-63.9204559
10165,-10.01953125,-70.3125
10175,-10.63476563,-55.930397
10186,-11.16210938,-52.734375
10196,-11.6015625,-39.9502831
10207,-11.86523438,-26.3671875
10217,-12.12890625,-26.3671875
10227,-12.21679688,-7.990057
10238,-12.3046875,-8.7890625
10248,-12.21679688,7.990057
10259,-12.04101563,17.578125
10269,-11.77734375,26.3671875
10280,-11.42578125,31.960228
10290,-10.8984375,52.734375
10300,-10.37109375,47.9403419
10311,-9.66796875,70.3125
10321,-8.96484375,63.9204559
10332,-8.173828125,79.1015625
10342,-7.3828125,79.1015625
10352,-6.416015625,87.890625
10363,-5.44921875,96.6796875
10373,-4.482421875,87.890625
10384,-3.427734375,105.46875
10394,-2.373046875,95.8806839
10405,-1.318359375,105.46875
10415,-0.263671875,105.46875
10425,0.87890625,103.8707352
10436,1.93359375,105.46875
10446,2.98828125,95.8806839
10457,3.955078125,96.6796875
10467,4.921875,87.890625
10478,5.888671875,96.6796875
10488,6.767578125,87.890625
10498,7.646484375,79.9005661
10509,8.349609375,70.3125
10519,9.052734375,63.9204559
10530,9.66796875,61.5234375
10540,10.1953125,47.9403419
10551,10.72265625,52.734375
10561,10.98632813,26.3671875
10571,11.33789063,31.960228
10582,11.51367188,17.578125
10592,11.6015625,7.990057
10603,11.6015625,0
10613,11.51367188,-7.990057
10624,11.33789063,-17.578125
10634,10.98632813,-35.15625
10644,10.63476563,-31.960228
10655,10.1953125,-43.9453125
10665,9.66796875,-47.9403419
10676,9.052734375,-61.5234375
10686,8.349609375,-63.9204559
10697,7.646484375,-70.3125
10707,6.767578125,-87.890625
10717,5.888671875,-79.9005661
10728,5.009765625,-87.890625
10738,3.955078125,-95.8806839
10749,2.98828125,-96.6796875
10759,1.93359375,-95.8806839
10770,0.87890625,-105.46875
10780,-0.17578125,-105.46875
10790,-1.318359375,-103.8707352
10801,-2.373046875,-105.46875
